2025-Season,Beer,Rating-out of 5,Winner,Constructor,Haas Points
Australia,Fosters,3.5,Lando Norris,Mercedes McClaren,0
China,TsingTao,3.75,Oscar Piastri,Mercedes McClaren,14
Japan,Sapporo,2,Max Verstappen,Oracle Red Bull,1
Bahrain,Heineken,3,Oscar Piastri,Mercedes McClaren,5
Saudi Arabia,N/A,N/A,Oscar Piastri,Mercedes McClaren,0
Miami ,Jai Alai- Cigar City Brewing,4.5,Oscar Piastri,Mercedes McClaren,0
Emilia Romagna ,Peroni,3.5,Max Verstappen,Oracle Red Bull,0
Monaco ,Monte Carlo Lager,3,Lando Norris,Mercedes McClaren,6

Spain,Estrella Galacia,,Oscar Piastri,Mercedes McClaren,1
Canada,Molson,3.5,George Russell, Mercedes, 2
Austria, Stiegl, 3.5, Lando Norris, Mercedes McClaren, 1
England, Samuel Smith Imperial Stout, 4.5, Lando Norris, Mercedes McClaren, 0
Belgium, Delerium Nocturnum, 5, Oscar Piastri, Mercedes McClaren, 0
Amsterdam, Heinekin, 2.5, Oscar Piastri, Mercedes McClaren, 9
Monza, Peroni, 3.5, Max Verstappen, Red Bull, 0
